number,coreid,refcode,name,mofid-v1,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
234,2017[Zn][dia]3[FSR]8,c7dt00614d2_2_FSR_pacman,-,N1=C[N]N([CH]1)c1ccc(cc1)N(c1ccc(cc1)N1[N]C=N[CH]1)c1ccc(cc1)N1[N]C=N[CH]1.[O-]C(=O)c1ccc(cc1)c1cccc(c1)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.dia.cat0;c7dt00614d2_2_FSR_pacman,4.84708,2.74228,4.48751,1.29059,0,0,0,152.9,358.725,277.954,1775.68,0.4166,0.322798,0,0,0,3,dia,unnamed,dia,unnamed,5,3,-P 2ybc,14,Zn,No,N/A,PACMAN-DDEC6,9.305096629,0.949471107,0.040627388,1.065816567,0.076890342,1.125185425,0.084418804,0.001679365,0.353098481,356,SI,10.1039/C7DT00614D,2017,2017,RSC,Free Solvent Removed,FALSE,287.2,0.79182446,0.806666667,weak,
235,2017[Mn][kgm]2[FSR]1,c7dt01045a2_1_FSR_pacman,-,Cl[Mn].Cl[Mn]Cl.[Mn].[O-]C(=O)c1ncccn1 MOFid-v1.ERROR.cat0;c7dt01045a2_1_FSR_pacman,7.38092,6.02143,7.38092,1.46462,104.187,717.427,489.838,12.6312,86.9779,59.3859,694.457,0.4782,0.3265,0,0,0,2,kgm,unnamed,unnamed,unnamed,1,2,P 2ac 2ab,19,Mn,No,N/A,PACMAN-DDEC6,15.24861179,0.765470968,0.054794048,0.846088987,0.103542138,0.886062204,0.107872238,0.001012701,0.252046777,84,SI,10.1039/C7DT01045A,2017,2017,RSC,Free Solvent Removed,FALSE,405.8,0.49695674,0.38,weak,
236,2017[Cu][sql]2[FSR]2,c7dt01074e2_FSR_pacman,-,[O-]C(=O)c1cc(NCc2ccccc2)cc(c1)C(=O)[O-].[OH2][Cu]1[O]([Cu][OH2])[Cu][O]1[Cu] MOFid-v1.sql.cat1;c7dt01074e2_FSR_pacman,8.26625,5.9941,8.20198,1.13348,1645.61,1167.1,1029.66,108.947,77.2675,68.1686,7661.94,0.5434,0.47941,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-P 2ybc,14,Cu,Yes,Cu,PACMAN-DDEC6,10.28259453,0.927971658,0.044214586,1.013113778,0.072512751,1.070100006,0.063988387,0.001413789,0.560131955,936,SI,10.1039/C7DT01074E,2017,2017,RSC,Free Solvent Removed,TRUE,251.8,0.7122395,0.508,unknown,
237,2017[Zn][sql]2[FSR]2,c7dt01147d2_FSR_pacman,-,unknown,7.02325,4.60671,7.02137,0.727537,1692.2,2655.06,3649.38,0,0,0,4203.96,0.6596,0.906621,0,0,0,2,sql,unnamed,sql,unnamed,4,2,-P 1,2,Zn,Yes,Zn,PACMAN-DDEC6,8.618351605,0.9599392,0.016516469,1.077503734,0.02995386,1.138482016,0.041987404,0.001129057,0.328627685,324,SI,10.1039/C7DT01147D,2017,2017,RSC,Free Solvent Removed,TRUE,308.8,0.8729853,0.41,unknown,
238,2017[Zn][sql]2[FSR]3,c7dt01195d2_3_FSR_pacman,-,CCCOc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.unknown.cat0;c7dt01195d2_3_FSR_pacman,4.6791,3.61937,4.6791,1.23333,94.9687,794.728,644.376,0,0,0,566.183,0.4738,0.384163,0,0,0,2,sql,unnamed,sql,unnamed,1,2,-P 2ybc,14,Zn,No,N/A,PACMAN-DDEC6,9.44166,0.950576825,0.027972545,1.054745207,0.063028599,1.098250785,0.070369723,0.001385867,0.337769257,94,SI,10.1039/C7DT01195D,2017,2017,RSC,Free Solvent Removed,TRUE,318.9,0.7560863,0.837484772,unknown,
239,2017[Mn][pcu]3[FSR]1,c7dt01251a2_1_FSR_pacman,-,[Mn].[O-]C=O MOFid-v1.pcu.cat0;c7dt01251a2_1_FSR_pacman,4.37093,2.54585,4.35025,1.35105,0,0,0,38.106,407.968,301.965,489.439,0.524,0.387848,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,-C 2yc,15,Mn,No,N/A,PACMAN-DDEC6,14.61464346,1.011120009,0.039072236,0.989558134,0.080528542,1.101085774,0.087838907,0.001790778,0.388595243,52,SI,10.1039/C7DT01251A,2017,2017,RSC,Free Solvent Removed,FALSE,274,0.86739135,0.447428571,weak,
240,2017[Co][nan]3[FSR]4,c7dt01306j2_4_FSR_pacman,-,[Co].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1 MOFid-v1.unknown.cat0;c7dt01306j2_4_FSR_pacman,5.57112,2.41312,5.55074,1.18055,0,0,0,261.405,845.654,716.319,1519.61,0.4916,0.416414,0,0,0,3,unnamed,unnamed,unnamed,unnamed,2,3,-C 2yc,15,Co,No,N/A,PACMAN-DDEC6,9.810764554,0.92093252,0.040249175,1.036465652,0.082725239,1.094530169,0.091337972,0.001500638,0.354185025,224,SI,10.1039/C7DT01306J,2017,2017,RSC,Free Solvent Removed,TRUE,430.5,0.8108567,0.919545455,strong,
241,2017[Co][qtz]3[FSR]1,c7dt01523b2_5_FSR_pacman,-,[Co][OH2][Co].[O-]C(=O)c1cc(cnc1)N1[CH]N=C[N]1.[O-]C(=O)c1cncc(c1)n1cncn1 MOFid-v1.ERROR.cat0;c7dt01523b2_5_FSR_pacman,4.98997,4.13343,4.96073,1.17603,444.508,1175.76,999.775,0,0,0,1985.57,0.5252,0.446588,0,0,0,3,qtz,unnamed,qtz,unnamed,1,3,-P 2ybc,14,Co,No,N/A,PACMAN-DDEC6,11.01833667,0.886466599,0.024898252,0.988089314,0.054052007,1.046868,0.064337496,0.001434673,0.402098007,243,SI,10.1039/C7DT01523B,2017,2017,RSC,Free Solvent Removed,TRUE,343.5,0.7431195,0.639666667,weak,
242,2017[Co][nan]3[FSR]5,c7dt01759f2_2_FSR_pacman,-,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Co]1[OH]([Co])[Co]([OH]1[Co])([OH2])[OH2].c1cc(cc(c1)c1[nH]cnc1)c1[nH]cnc1 MOFid-v1.ERROR.cat0;c7dt01759f2_2_FSR_pacman,5.34521,4.18072,5.33676,1.24735,272.383,728.215,583.808,0,0,0,1734.06,0.4636,0.371667,0,0,0,3,unstable,unnamed,unstable,unnamed,1,3,-P 2ybc,14,Co,Yes,Co,PACMAN-DDEC6,10.10673885,0.912508309,0.051470575,1.020635333,0.09396745,1.074858345,0.096277205,0.001554822,0.437705777,278,SI,10.1039/C7DT01759F,2017,2017,RSC,Free Solvent Removed,TRUE,310.5,0.54102254,0.65,strong,
243,2017[Ce][sql]2[FSR]1,c7dt02040f2_FSR_pacman,-,[Ce].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-] MOFid-v1.sql.cat0;c7dt02040f2_FSR_pacman,4.61307,3.90076,4.61307,1.49035,84.042,310.37,208.253,25.5371,94.3096,63.2801,1115.07,0.4118,0.27631,0,0,0,2,sql,unnamed,sql,unnamed,1,2,-P 2ybc,14,Ce,No,N/A,PACMAN-DDEC6,10.47524172,0.879438849,0.050619255,0.937969257,0.093848937,0.987863753,0.095654363,0.000998482,0.324181623,232,SI,10.1039/C7DT02040F,2017,2017,RSC,Free Solvent Removed,TRUE,457,0.22513175,0.68962963,weak,
244,2017[NiCo][qtz]3[FSR]1,c7dt02064c2_FSR_pacman,-,unknown,13.29863,13.15284,13.29863,0.829487,983.336,1457.88,1757.56,0,0,0,4516.45,0.6696,0.807245,0,0,0,3,qtz,unnamed,qtz,unnamed,4,3,-P 2yb,11,"Ni,Co",No,N/A,PACMAN-DDEC6,10.30366344,0.92440773,0.0501701,1.040563195,0.093558134,1.106871896,0.095205693,0.001541606,0.414923741,327,SI,10.1039/C7DT02064C,2017,2017,RSC,Free Solvent Removed,FALSE,343.2,0.87696874,0.73,superstrong,
245,2017[Cd][hcb]2[FSR]1,c7dt02697h2_2_FSR_pacman,-,CC(C(=O)Nc1cc(ccc1C(=O)[O-])C(=O)[O-])O.[Cd] MOFid-v1.hcb.cat0;c7dt02697h2_2_FSR_pacman,11.50272,8.4606,11.50272,0.806632,424.178,1710.29,2120.28,0,0,0,1661.21,0.6698,0.830366,0,0,0,2,hcb,unnamed,hcb,unnamed,1,2,P -4 2n,114,Cd,No,N/A,PACMAN-DDEC6,9.63808336,0.946751315,0.037904415,1.063232613,0.060527292,1.152362518,0.07629722,0.00131628,0.37433803,125,SI,10.1039/C7DT02697H,2017,2017,RSC,Free Solvent Removed,TRUE,275,0.943455,0.660045455,weak,
246,2017[Zn][dmp]3[FSR]1,c7dt02981k2_4_FSR_pacman,-,O=C(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn].n1cc([nH]c1)c1ccc(cc1)c1[nH]cnc1 MOFid-v1.dmp.cat0;c7dt02981k2_4_FSR_pacman,4.72798,2.52331,4.6,1.29595,0,0,0,76.1361,273.142,210.765,1211.97,0.4348,0.335506,0,0,0,3,dmp,unnamed,dmp,unnamed,3,3,-C 2yc,15,Zn,Yes,Zn,PACMAN-DDEC6,9.887920364,0.919333808,0.031266966,1.032280597,0.049129896,1.089152318,0.054212241,0.001471829,0.439541531,220,SI,10.1039/C7DT02981K,2017,2017,RSC,Free Solvent Removed,TRUE,335.9,0.90236986,0.167333333,weak,
247,2018[Zn][sql]2[FSR]2,c7dt03341a2_FSR_pacman,-,C[C](c1cccnc1)[N][N][C](c1cccnc1)C.[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat0;c7dt03341a2_FSR_pacman,5.00855,3.32708,4.96749,1.3331,83.9268,689.189,516.984,0,0,0,563.337,0.4626,0.347012,0,0,0,2,sql,unnamed,sql,unnamed,1,2,-P 1,2,Zn,Yes,Zn,PACMAN-DDEC6,10.62605652,0.896372451,0.029470813,1.002434244,0.057386999,1.044099928,0.06746891,0.001646297,0.415232577,92,SI,10.1039/C7DT03341A,2018,2018/10/9,RSC,Free Solvent Removed,TRUE,371.7,0.9492396,0.404527778,none,
248,2017[CrMn][qtz]3[FSR]1,c7dt03415f2_1_FSR_pacman,-,[Cr].[Mn].[O-]C(=O)C(=O)[O-] MOFid-v1.ERROR.cat0;c7dt03415f2_1_FSR_pacman,6.2194,5.33977,6.21712,1.03133,2827.09,2129.74,2065.04,57.6199,43.407,42.0883,8737.15,0.6582,0.638203,0,0,0,3,qtz,unnamed,qtz,unnamed,1,3,-P 2ybc,14,"Cr,Mn",No,N/A,PACMAN-DDEC6,17.6165191,0.79716777,0.042534829,0.861599902,0.07256956,0.915563177,0.081110969,0.001667505,0.352374189,468,SI,10.1039/C7DT03415F,2017,2017,RSC,Free Solvent Removed,FALSE,376.2,0.67213833,0.38,none,
249,2017[CrMn][qtz]3[FSR]2,c7dt03415f2_2_FSR_pacman,-,[Cr].[Mn].[O-]C(=O)C(=O)[O-] MOFid-v1.ERROR.cat0;c7dt03415f2_2_FSR_pacman,6.2241,5.33349,6.2241,1.03133,2836.29,2136.68,2071.76,58.0408,43.7241,42.3958,8726.54,0.6574,0.637427,0,0,0,3,qtz,unnamed,qtz,unnamed,1,3,-P 2ybc,14,"Cr,Mn",No,N/A,PACMAN-DDEC6,17.6165191,0.780323429,0.01808218,0.855023039,0.041238993,0.903564107,0.04549188,0.001505677,0.397532875,468,SI,10.1039/C7DT03415F,2017,2017,RSC,Free Solvent Removed,FALSE,376.9,0.6736468,0.38,none,
250,2018[Zn][sql]2[FSR]3,c7dt03758a2_5_FSR_pacman,-,[Zn].c1ccc2c(c1)c(n1cncc1)c1c(c2n2cncc2)cccc1 MOFid-v1.sql.cat0;c7dt03758a2_5_FSR_pacman,4.51257,3.31393,4.39814,1.1379,67.2495,448.061,393.763,0,0,0,722.233,0.4812,0.422886,0,0,0,2,sql,unnamed,sql,unnamed,1,2,-P 1,2,Zn,No,N/A,PACMAN-DDEC6,9.101515752,0.943964136,0.026493999,1.061674517,0.05905784,1.116865702,0.063591569,0.001462103,0.328153376,113,SI,10.1039/C7DT03758A,2018,2018/12/4,RSC,Free Solvent Removed,FALSE,353.2,0.7076582,0.73,none,
251,2019[Co][hex]3[FSR]1,c7dt04354f2_1_FSR_pacman,-,[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.hex.cat1;c7dt04354f2_1_FSR_pacman,6.70333,5.01996,6.69634,0.928459,1432.94,1760.64,1896.3,0,0,0,4920.68,0.6046,0.651187,0,0,0,3,hex,unnamed,hex,unnamed,2,3,P 2ac 2ab,19,Co,No,N/A,PACMAN-DDEC6,10.63218005,0.883225669,0.036893443,0.983072582,0.055309858,1.038191794,0.059461749,0.001527858,0.398274883,428,SI,10.1039/C7DT04354F,2019,2019/1/24,RSC,Free Solvent Removed,TRUE,420.4,0.77077746,0.542732095,strong,
252,2019[CoMg][hex]3[FSR]1,c7dt04354f2_2_FSR_pacman,-,[Co].[Mg].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.hex.cat1;c7dt04354f2_2_FSR_pacman,6.57785,4.83765,6.5715,0.905268,1400.54,1730.52,1911.61,0,0,0,4863.99,0.601,0.663892,0,0,0,3,hex,unnamed,hex,unnamed,2,3,P 2ac 2ab,19,"Co,Mg",No,N/A,PACMAN-DDEC6,10.30855206,0.902682138,0.037992917,1.017932024,0.056445387,1.071911835,0.058933808,0.001556257,0.38863606,428,SI,10.1039/C7DT04354F,2019,2019/1/24,RSC,Free Solvent Removed,TRUE,439.1,0.7524102,0.43625,strong,
253,2019[Zn][sqp]3[FSR]1,c7dt04484d2_1_FSR_pacman,-,CC(C1=Nc2c([N]1)cccc2)[O].[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-].[Zn] MOFid-v1.sqp.cat0;c7dt04484d2_1_FSR_pacman,5.55465,3.62286,5.53628,1.20725,323.608,999.819,828.179,0,0,0,1668.82,0.5156,0.427086,0,0,0,3,sqp,unnamed,sqp,unnamed,1,3,"-P 3 2""",164,Zn,No,N/A,PACMAN-DDEC6,9.191504063,0.960747675,0.037384191,1.02670131,0.058053094,1.092419671,0.06079674,0.001471382,0.448798814,256,SI,10.1039/C7DT04484D,2019,2019/1/23,RSC,Free Solvent Removed,TRUE,379.5,0.24520022,0.637857143,strong,
254,2019[Zn][pcu]3[FSR]1,c7dt04566b2_6_FSR_pacman,-,C1CN2CCN1CC2.[O-]C(=O)c1c(F)c(F)c(c(c1F)F)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;c7dt04566b2_6_FSR_pacman,4.80806,4.03828,4.76244,1.50833,142.205,638.684,423.436,12.7685,57.3472,38.0202,1064.73,0.4782,0.317038,0,0,0,3,pcu,unnamed,pcu,unnamed,2,3,-P 2ybc,14,Zn,Yes,Zn,PACMAN-DDEC6,13.66489366,0.818975833,0.037946699,0.926436447,0.055630407,1.000436578,0.058188547,0.001456811,0.324552694,148,SI,10.1039/C7DT04566B,2019,2019/1/15,RSC,Free Solvent Removed,TRUE,406.1,0.93988967,0.837975095,unknown,
255,2019[Zn][sql]2[FSR]1,c7dt04659f2_3_FSR_pacman,-,CCCCCCOc1cc(C=Cc2ccncc2)c(cc1C=Cc1ccncc1)OCCCCCC.[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.sql.cat1;c7dt04659f2_3_FSR_pacman,5.3698,3.52897,5.34657,1.23878,204.834,624.21,503.89,0,0,0,1507.52,0.4594,0.370848,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-C 2yc,15,Zn,Yes,Zn,PACMAN-DDEC6,8.999865,0.967527984,0.037632175,1.071685388,0.055791067,1.110036621,0.059303663,0.001344581,0.373975373,272,SI,10.1039/C7DT04659F,2019,2019/1/23,RSC,Free Solvent Removed,TRUE,358.4,0.9486003,0.65,none,
256,2017[In][nan]2[FSR]1,c7fd00085e2_2_FSR_pacman,-,O=C(c1ccc(cc1)C(=O)NCC(=O)[O-])NCC(=O)[O-].[In].[OH] MOFid-v1.ERROR.cat0;c7fd00085e2_2_FSR_pacman,4.95019,4.49382,4.94851,1.62926,53.4002,638.884,392.132,0,0,0,358.741,0.4292,0.263433,0,0,0,2,unstable,unnamed,unstable,unnamed,1,2,-P 1,2,In,No,N/A,PACMAN-DDEC6,12.42554364,0.815012817,0.038615112,0.908305316,0.073641799,0.971733499,0.084325545,0.001663379,0.373870735,66,SI,10.1039/C7FD00085E,2017,2017,RSC,Free Solvent Removed,TRUE,306.9,0.49677458,0.5005,weak,
257,2017[Cu][hcb]2[FSR]1,c7nj00188f2_2_FSR_pacman,-,Cc1nccn1CCCn1ccnc1C.[Cu].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.hcb.cat1;c7nj00188f2_2_FSR_pacman,4.1714,3.40897,4.16731,1.14721,153.454,613.608,534.868,0,0,0,1246.92,0.4986,0.434618,0,0,0,2,hcb,unnamed,hcb,unnamed,2,2,-P 2ybc,14,Cu,Yes,Cu,PACMAN-DDEC6,8.99859375,0.979881969,0.018532697,1.086904711,0.03864012,1.146561474,0.039289451,0.001464778,0.48053898,192,SI,10.1039/C7NJ00188F,2017,2017,RSC,Free Solvent Removed,FALSE,344.7,0.59887797,0.928226601,strong,
258,2017[Co][pcu]3[FSR]1,c7nj00188f2_3_FSR_pacman,-,Cc1nccn1CCCn1ccnc1C.[Co][Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.pcu.cat1;c7nj00188f2_3_FSR_pacman,5.14896,3.62698,5.05778,1.20211,398.589,1109.16,922.683,0,0,0,1801.83,0.5014,0.417101,0,0,0,3,pcu,unnamed,pcu,unnamed,2,3,P 62,171,Co,No,N/A,PACMAN-DDEC6,10.00565923,0.931358688,0.019519843,1.024469166,0.039539834,1.095592583,0.038953918,0.001907285,0.372134084,260,SI,10.1039/C7NJ00188F,2017,2017,RSC,Free Solvent Removed,FALSE,366.2,0.66430926,0.759655172,weak,
259,2017[Co][sql]2[FSR]3,c7nj00540g2_FSR_pacman,-,unknown,5.61438,4.77354,5.61438,1.06296,222.536,1335.3,1256.21,0,0,0,883.612,0.5302,0.498795,0,0,0,2,sql,unnamed,sql,unnamed,2,2,-P 1,2,Co,No,N/A,PACMAN-DDEC6,9.698183909,0.914148143,0.019964615,1.02651097,0.040710092,1.081587453,0.040735736,0.001284553,0.495626581,110,SI,10.1039/C7NJ00540G,2017,2017,RSC,Free Solvent Removed,TRUE,390,0.8423482,0.652,weak,
260,2018[Cd][pcu]3[FSR]1,c7nj01509g2_FSR_pacman,-,[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C=Nc1ccc(cc1)Oc1ccc(cc1)N=Cc1ccncc1 MOFid-v1.hxl.cat0;c7nj01509g2_FSR_pacman,5.00268,3.23008,4.92444,1.52404,0,0,0,128.999,437.139,286.83,1218.76,0.413,0.27099,0,0,0,3,pcu,unnamed,pcu,unnamed,2,3,P 62 2c (0 0 1),180,Cd,No,N/A,PACMAN-DDEC6,11.09992918,0.84301173,0.030135515,0.921042656,0.051124761,0.972803229,0.060652969,0.001283984,0.34012877,244,SI,10.1039/C7NJ01509G,2018,2018/11/7,RSC,Free Solvent Removed,FALSE,317.9,0.64591026,0.747133292,weak,
261,2018[Co][flu]3[FSR]1,c7nj02904g2_1_FSR_pacman,-,"[Co].[O-]C(=O)c1cc(CN2[N]C(=N[C]2c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-] MOFid-v1.unknown,flt.cat0;c7nj02904g2_1_FSR_pacman",4.22907,2.83701,4.01008,1.35477,0,0,0,47.8246,425.686,314.213,489.834,0.436,0.321826,0,0,0,3,flu,unnamed,flt,unnamed,1,3,P 3,143,Co,No,N/A,PACMAN-DDEC6,10.41573216,0.908763059,0.028007287,1.025678024,0.055277919,1.082710232,0.064044051,0.001771322,0.368402625,88,SI,10.1039/C7NJ02904G,2018,2018/11/2,RSC,Free Solvent Removed,TRUE,365,0.7732628,0.84,weak,
262,2018[Mn][nan]3[FSR]1,c7nj02904g2_2_FSR_pacman,-,"[Mn].[O-]C(=O)c1cc(CN2[N]C(=N[C]2c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])Cn1nc(nc1c1ccncc1)c1ccncc1.[OH2][Mn] MOFid-v1.ant,bey.cat0;c7nj02904g2_2_FSR_pacman",5.32496,3.69453,5.29853,1.09934,691.632,1235.37,1123.73,0,0,0,2978.46,0.532,0.483926,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-P 2a 2bc,52,Mn,No,N/A,PACMAN-DDEC6,10.18252099,0.922006523,0.048331202,1.026080232,0.093095748,1.085627991,0.087578971,0.001897942,0.324416417,364,SI,10.1039/C7NJ02904G,2018,2018/11/2,RSC,Free Solvent Removed,TRUE,411.3,0.96670365,0.59,unknown,
263,2019[Zn][pts]3[FSR]1,c7nj04355d2_FSR_pacman,-,[O-]C(=O)c1cc(N2[N]C=N[CH]2)c(cc1N1[N]C=N[CH]1)C(=O)[O-].[Zn] MOFid-v1.pts.cat0;c7nj04355d2_FSR_pacman,5.6478,4.32887,5.6478,0.978504,287.159,2326.87,2377.99,0,0,0,784.887,0.636,0.649972,0,0,0,3,pts,unnamed,pts,unnamed,1,3,-P 1,2,Zn,No,N/A,PACMAN-DDEC6,12.53771862,0.831088864,0.048326887,0.917436578,0.093309371,0.990789449,0.087006194,0.001629098,0.418478958,58,SI,10.1039/C7NJ04355D,2019,2019/1/12,RSC,Free Solvent Removed,FALSE,323.6,0.8290927,0.426875,weak,
264,2019[Cd][hcb]2[FSR]2,c7nj05125e2_4_FSR_pacman,-,Cl[Cd]Cl.c1cc(CN(Cc2cccc(c2)Cn2cncc2)Cc2cccc(c2)Cn2cncc2)cc(c1)Cn1cncc1 MOFid-v1.hcb.cat1;c7nj05125e2_4_FSR_pacman,5.68146,2.54273,5.68146,1.36333,0,0,0,231.911,334.748,245.537,2859.84,0.4128,0.302788,0,0,0,2,hcb,unnamed,hcb,unnamed,2,2,P 65 2 (0 0 1),179,Cd,No,N/A,PACMAN-DDEC6,9.354987105,0.903344739,0.043694659,1.018292323,0.084261528,1.093709328,0.087963802,0.002011274,0.306964875,608,SI,10.1039/C7NJ05125E,2019,2019/3/7,RSC,Free Solvent Removed,TRUE,326.4,0.8129902,0.65,none,
265,2019[Zn][pcu]3[FSR]2,c7qi00765e2_1_FSR_pacman,-,O=N(=O)C1=N[CH]C=N1.[N]1C=NN=N1.[Zn] MOFid-v1.frl.cat0;c7qi00765e2_1_FSR_pacman,5.61495,4.15563,5.61495,1.46672,333.758,1082.57,738.087,0,0,0,1502.67,0.4874,0.332305,0,0,0,3,pcu,unnamed,pcu,unnamed,1,3,P 65 2 (0 0 1),179,Zn,No,N/A,PACMAN-DDEC6,14.03634969,0.778291917,0.024427423,0.881065803,0.037146928,0.939467467,0.048162736,0.001638124,0.414606077,194,SI,10.1039/C7QI00765E,2019,2019/1/8,RSC,Free Solvent Removed,TRUE,369.3,0.7115322,0.863333333,weak,
266,2017[Y][nia]3[FSR]1,c7qm00164a2_FSR_pacman,-,"[O-]C(=O)c1cc(NC2=NC(=[N]=C([N]2)Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Y] MOFid-v1.lon,jjt.cat0;c7qm00164a2_FSR_pacman",7.04303,4.2161,7.03432,1.03683,403.438,1795.91,1732.11,0,0,0,1326.29,0.5904,0.569427,0,0,0,3,nia,unnamed,jjt,unnamed,1,3,-P 1,2,Y,No,N/A,PACMAN-DDEC6,12.09177638,0.869986267,0.017879045,0.976636937,0.038752061,1.037865816,0.048743909,0.001946869,0.328026297,116,SI,10.1039/C7QM00164A,2017,2017,RSC,Free Solvent Removed,TRUE,388.1,0.78367877,0.55,weak,
267,2017[Cd][kgd]2[FSR]3,c7ra05090a2_FSR_pacman,-,"[Cd].[O-]C(=O)c1ccc(cc1)Oc1cc(cc(c1)Oc1ccc(cc1)C(=O)[O-])Oc1ccc(cc1)C(=O)[O-].[OH2][Cd] MOFid-v1.kgd,ERROR.cat1;c7ra05090a2_FSR_pacman",6.46146,4.53964,6.46146,1.12828,988.3,1129.53,1001.11,292.022,333.752,295.807,4999.56,0.5714,0.506437,0,0,0,2,kgd,unnamed,kgd,unnamed,2,2,-P 2a 2bc,52,Cd,No,N/A,PACMAN-DDEC6,11.00930607,0.854501643,0.027915647,0.947375195,0.041733382,0.992394289,0.053666712,0.001511886,0.246854588,540,SI,10.1039/C7RA05090A,2017,2017,RSC,Free Solvent Removed,TRUE,341.5,0.6151348,0.91,unknown,
268,2017[Pr][kgd]2[FSR]1,c7ra06320b2_FSR_pacman,-,[O-]C(=O)c1cccc(c1)NC1=NC(=[N]=C([N]1)Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[O][Pr].[O][Pr]([O])[O] MOFid-v1.unknown.cat1;c7ra06320b2_FSR_pacman,5.93371,5.24712,5.8485,1.09335,691.267,1733.71,1585.68,0,0,0,2305.41,0.5782,0.528833,0,0,0,2,kgd,unnamed,kgd,unnamed,2,2,-P 2a 2bc,52,Pr,No,N/A,PACMAN-DDEC6,12.15405463,0.822782905,0.028498298,0.906989779,0.055507015,0.959914576,0.065838725,0.001844011,0.199764572,216,SI,10.1039/C7RA06320B,2017,2017,RSC,Free Solvent Removed,TRUE,372.2,0.6185137,0.88,superstrong_high_loading,
269,2017[Co][nan]2[FSR]1,c7ra07089f2_FSR_pacman,-,[Co].[O-]C(=O)c1cc(cc(c1)n1cnnc1)n1cnnc1.[OH] MOFid-v1.ERROR.cat1;c7ra07089f2_FSR_pacman,4.4232,4.15363,4.39073,1.47031,71.4553,477.64,324.856,0,0,0,648.07,0.4332,0.294631,0,0,0,2,unstable,unnamed,mismatch,unnamed,2,2,P 2yb,4,Co,No,N/A,PACMAN-DDEC6,11.41906259,0.867666201,0.024409929,0.982573101,0.0516562,1.026423823,0.059381709,0.00183799,0.205462721,116,SI,10.1039/C7RA07089F,2017,2017,RSC,Free Solvent Removed,TRUE,297.8,0.25581312,0.696212121,superstrong_high_loading,
